County,Total Victims,FIPS_CODE
Albany,22,36001
Allegany,0,36003
Bronx,16,36005
Broome,1,36007
Cattaraugus,1,36009
Cayuga,2,36011
Chautauqua,3,36013
Chemung,1,36015
Chenango,1,36017
Clinton,5,36019
Columbia,2,36021
Cortland,0,36023
Delaware,0,36025
Dutchess,7,36027
Erie,13,36029
Essex,1,36031
Franklin,0,36033
Fulton,0,36035
Genesee,2,36037
Greene,0,36039
Hamliton,0,36041
Herkimer,0,36043
Jefferson,5,36045
Kings,79,36047
Lewis,0,36049
Livingston,0,36051
Madison,3,36053
Monroe,5,36055
Montgomery,4,36057
Nassau,13,36059
New York,148,36061
Niagara,3,36063
Oneida,0,36065
Onondaga,2,36067
Ontario,0,36069
Orange,2,36071
Orleans,0,36073
Oswego,2,36075
Otsego,2,36077
Putnam,0,36079
Queens,60,36081
Rensselaer,1,36083
Richmond,3,36085
Rockland,5,36087
Saratoga,1,36091
Schenectady,2,36093
Schoharie,1,36095
Schuyler,0,36097
Seneca,1,36099
St. Lawrence,1,36089
Steuben,1,36101
Suffolk,14,36103
Sullivan,0,36105
Tioga,1,36107
Tompkins,2,36109
Ulster,3,36111
Warren,1,36113
Washington,1,36115
Wayne,0,36117
Westchester,17,36119
Wyoming,2,36121
Yates,0,36123
